n, t, response
0, 0, 213.000000
1, 1.5, 200.000000
2, 3, 201.000000
3, 4.5, 208.000000
4, 6, 207.000000
5, 7.5, 202.000000
6, 9, 203.000000
7, 10.5, 194.000000
8, 12, 190.000000
9, 13.5, 190.000000
10, 15, 193.000000
11, 16.5, 194.000000
12, 18, 194.000000
13, 19.5, 202.000000
14, 21, 222.000000
15, 22.5, 221.000000
16, 24, 217.000000
17, 25.5, 221.000000
18, 27, 215.000000
19, 28.5, 190.000000
20, 30, 176.000000
21, 31.5, 189.000000
22, 33, 175.000000
23, 34.5, 166.000000
24, 36, 180.000000
25, 37.5, 179.000000
26, 39, 178.000000
27, 40.5, 177.000000
28, 42, 180.000000
29, 43.5, 192.000000
30, 45, 202.000000
31, 46.5, 213.000000
32, 48, 224.000000
33, 49.5, 230.000000
34, 51, 189.000000
35, 52.5, 202.000000
36, 54, 193.000000
37, 55.5, 195.000000
38, 57, 198.000000
39, 58.5, 184.000000
40, 60, 176.000000
41, 61.5, 170.000000
42, 63, 172.000000
43, 64.5, 171.000000
44, 66, 182.000000
45, 67.5, 184.000000
46, 69, 200.000000
47, 70.5, 203.000000
48, 72, 219.000000
49, 73.5, 205.000000
50, 75, 202.000000
51, 76.5, 190.000000
52, 78, 182.000000
53, 79.5, 178.000000
54, 81, 182.000000
55, 82.5, 188.000000
56, 84, 196.000000
57, 85.5, 198.000000
58, 87, 191.000000
59, 88.5, 183.000000
60, 90, 188.000000
61, 91.5, 207.000000
62, 93, 210.000000
63, 94.5, 211.000000
64, 96, 217.000000
65, 97.5, 218.000000
66, 99, 206.000000
67, 100.5, 179.000000
68, 102, 182.000000
69, 103.5, 190.000000
70, 105, 178.000000
71, 106.5, 168.000000
72, 108, 175.000000
73, 109.5, 190.000000
74, 111, 187.000000
75, 112.5, 193.000000
76, 114, 198.000000
77, 115.5, 201.000000
78, 117, 213.000000
79, 118.5, 223.000000
80, 120, 217.000000
81, 121.5, 212.000000
82, 123, 201.000000
83, 124.5, 206.000000
84, 126, 187.000000
85, 127.5, 192.000000
86, 129, 184.000000
87, 130.5, 190.000000
88, 132, 181.000000
89, 133.5, 184.000000
90, 135, 178.000000
91, 136.5, 186.000000
92, 138, 187.000000
93, 139.5, 202.000000
94, 141, 220.000000
95, 142.5, 217.000000
96, 144, 228.000000
97, 145.5, 227.000000
98, 147, 208.000000
99, 148.5, 200.000000
100, 150, 200.000000
101, 151.5, 210.000000
102, 153, 206.000000
103, 154.5, 208.000000
104, 156, 205.000000
105, 157.5, 186.000000
106, 159, 188.000000
107, 160.5, 192.000000
108, 162, 198.000000
109, 163.5, 220.000000
110, 165, 226.000000
111, 166.5, 231.000000
112, 168, 226.000000
113, 169.5, 206.000000
114, 171, 198.000000
115, 172.5, 201.000000
116, 174, 177.000000
117, 175.5, 189.000000
118, 177, 193.000000
119, 178.5, 178.000000
120, 180, 179.000000
121, 181.5, 194.000000
122, 183, 185.000000
123, 184.5, 182.000000
124, 186, 184.000000
125, 187.5, 207.000000
126, 189, 212.000000
127, 190.5, 222.000000
128, 192, 248.000000
129, 193.5, 233.000000
130, 195, 238.000000
131, 196.5, 227.000000
132, 198, 222.000000
133, 199.5, 232.000000
134, 201, 221.000000
135, 202.5, 219.000000
136, 204, 199.000000
137, 205.5, 195.000000
138, 207, 206.000000
139, 208.5, 209.000000
140, 210, 211.000000
141, 211.5, 218.000000
142, 213, 229.000000
143, 214.5, 214.000000
144, 216, 230.000000
145, 217.5, 225.000000
146, 219, 223.000000
147, 220.5, 204.000000
148, 222, 204.000000
149, 223.5, 184.000000
150, 225, 191.000000
151, 226.5, 195.000000
152, 228, 183.000000
153, 229.5, 185.000000
154, 231, 177.000000
155, 232.5, 185.000000
156, 234, 189.000000
157, 235.5, 214.000000
158, 237, 215.000000
159, 238.5, 219.000000
160, 240, 223.000000
161, 241.5, 200.000000
162, 243, 184.000000
163, 244.5, 178.000000
164, 246, 185.000000
165, 247.5, 184.000000
166, 249, 183.000000
167, 250.5, 177.000000
